surname,team,position,minutes,shots,passes,tackles,saves,number of passes per minute played,,,,,Which team has the highest average number of passes per minute played,
Alvarez,Honduras,midfielder,180,1,57,1,0,0.32,,,,,,
Anelka,France,forward,117,7,37,1,0,0.32,,,,,,
Pepe,Portugal,midfielder,136,1,43,3,0,0.32,,,,,,
Gomez,Germany,forward,57,2,18,0,0,0.32,,,,,,
Kanu,Nigeria,forward,57,0,18,0,0,0.32,,,,,,
Torosidis,Greece,defender,235,3,74,5,0,0.31,,,,,,
Contreras,Chile,defender,54,0,17,1,0,0.31,,,,,,
Kalou,Ivory Coast,forward,160,4,50,3,0,0.31,,,,,,
Kim Yong-Jun,North Korea,midfielder,32,1,10,0,0,0.31,,,,,,
Weiss,Slovakia,midfielder,269,2,84,2,0,0.31,,,,,,
Carney,Australia,defender,180,0,56,4,0,0.31,,,,,,
Fucile,Uruguay,defender,371,2,115,14,0,0.31,,,,,,
Almeida,Portugal,forward,136,5,42,3,0,0.31,,,,,,
Cho Yong-Hyung,South Korea,defender,360,0,111,10,0,0.31,,,,,,
Milner,England,midfielder,185,1,57,6,0,0.31,,,,,,
Buddle,USA,forward,39,1,12,0,0,0.31,,,,,,
Mokoena,South Africa,defender,270,0,83,5,0,0.31,,,,,,
Grichting,Switzerland,defender,270,1,82,6,0,0.30,,,,,,
Robben,Netherlands,forward,267,6,81,5,0,0.30,,,,,,
Gyan,Ghana,forward,501,27,151,1,0,0.30,,,,,,
Benitez,Paraguay,forward,83,2,25,2,0,0.30,,,,,,
Heskey,England,forward,176,2,53,7,0,0.30,,,,,,
Fuentes,Chile,defender,90,0,27,3,0,0.30,,,,,,
Gonzalez,Chile,midfielder,138,10,41,6,0,0.30,,,,,,
Lichtsteiner,Switzerland,defender,270,2,80,10,0,0.30,,,,,,
Komano,Japan,defender,390,3,115,16,0,0.29,,,,,,
Giovani dos Santos,Mexico,midfielder,360,2,106,4,0,0.29,,,,,,
Yahia,Algeria,defender,269,1,79,4,0,0.29,,,,,,
Bertos,New Zealand,midfielder,270,0,79,5,0,0.29,,,,,,
Smith,New Zealand,defender,270,1,79,2,0,0.29,,,,,,
Kewell,Australia,midfielder,24,0,7,1,0,0.29,,,,,,
Cha Jong-Hyok,North Korea,defender,255,4,74,5,0,0.29,,,,,,
Tomasson,Denmark,forward,176,7,51,1,0,0.29,,,,,,
Bendtner,Denmark,forward,242,4,70,0,0,0.29,,,,,,
Barrios,Paraguay,forward,308,6,89,2,0,0.29,,,,,,
Suazo,Chile,forward,135,4,39,1,0,0.29,,,,,,
Gattuso,Italy,midfielder,45,0,13,5,0,0.29,,,,,,
Veruen,Paraguay,defender,90,0,26,3,0,0.29,,,,,,
Abe,Japan,midfielder,351,0,101,14,0,0.29,,,,,,
Gronkjaer,Denmark,midfielder,101,1,29,3,0,0.29,,,,,,
Zigic,Serbia,forward,227,5,65,2,0,0.29,,,,,,
Nkufo,Switzerland,forward,227,2,65,2,0,0.29,,,,,,
Beckmann,Denmark,midfielder,28,0,8,0,0,0.29,,,,,,
Izaguirre,Honduras,defender,180,0,51,8,0,0.28,,,,,,
Mendoza,Honduras,defender,180,0,51,3,0,0.28,,,,,,
Lennon,England,midfielder,153,0,43,1,0,0.28,,,,,,
Suarez,Uruguay,forward,452,19,127,4,0,0.28,,,,,,
Franco,Mexico,forward,253,4,71,2,0,0.28,,,,,,
Orellana,Chile,forward,25,1,7,0,0,0.28,,,,,,
Taiwo,Nigeria,defender,129,3,36,4,0,0.28,,,,,,
Beausejour,Chile,midfielder,360,2,100,7,0,0.28,,,,,,
Ri Jun-Il,North Korea,defender,270,1,75,2,0,0.28,,,,,,
Benaglio,Switzerland,goalkeeper,270,0,75,0,11,0.28,,,,,,
Park Chu-Young,South Korea,forward,347,14,96,0,0,0.28,,,,,,
Stekelenburg,Netherlands,goalkeeper,540,0,149,0,15,0.28,,,,,,
Rommedahl,Denmark,midfielder,270,4,74,5,0,0.27,,,,,,
Khumalo,South Africa,defender,270,2,74,4,0,0.27,,,,,,
Gilardino,Italy,forward,117,1,32,0,0,0.27,,,,,,
Higuain,Argentina,forward,341,13,93,5,0,0.27,,,,,,
Adiyiah,Ghana,forward,33,0,9,0,0,0.27,,,,,,
Nakazawa,Japan,defender,390,1,106,3,0,0.27,,,,,,
Ji Yun-Nam,North Korea,midfielder,270,3,73,11,0,0.27,,,,,,
Fallon,New Zealand,forward,222,1,60,1,0,0.27,,,,,,
Cahill,Australia,midfielder,146,6,39,1,0,0.27,,,,,,
Matmour,Algeria,midfielder,255,3,68,3,0,0.27,,,,,,
James,England,goalkeeper,270,0,72,0,6,0.27,,,,,,
Vorsah,Ghana,defender,210,1,56,2,0,0.27,,,,,,
Espinoza,Honduras,midfielder,135,0,36,4,0,0.27,,,,,,
Jovanovic,Serbia,midfielder,245,4,65,2,0,0.27,,,,,,
Fernandes,Switzerland,midfielder,212,1,56,7,0,0.26,,,,,,
Ziegler,Switzerland,defender,270,1,71,9,0,0.26,,,,,,
Dedic,Slovenia,forward,84,0,22,1,0,0.26,,,,,,
Cardozo,Paraguay,forward,204,3,53,2,0,0.26,,,,,,
Avraam Papadopoulos,Greece,defender,270,1,70,8,0,0.26,,,,,,
Kennedy,Australia,forward,112,3,29,1,0,0.26,,,,,,
Choupo-Moting,Cameroon,forward,147,2,38,1,0,0.26,,,,,,
John Mensah,Ghana,defender,420,1,108,10,0,0.26,,,,,,
Duda,Portugal,defender,70,0,18,2,0,0.26,,,,,,
Kengo Nakamura,Japan,midfielder,39,0,10,0,0,0.26,,,,,,
Kolarov,Serbia,defender,180,2,46,8,0,0.26,,,,,,
Ronaldo,Portugal,forward,360,18,91,3,0,0.25,,,,,,
Novakovic,Slovenia,forward,270,2,68,1,0,0.25,,,,,,
Vela,Mexico,forward,100,1,25,1,0,0.25,,,,,,
Huntelaar,Netherlands,forward,48,1,12,0,0,0.25,,,,,,
Killen,New Zealand,forward,240,3,60,7,0,0.25,,,,,,
Senderos,Switzerland,defender,36,0,9,1,0,0.25,,,,,,
Krasic,Serbia,midfielder,242,3,60,2,0,0.25,,,,,,
Derdiyok,Switzerland,forward,191,4,47,1,0,0.25,,,,,,
Ricardo Costa,Portugal,defender,179,0,44,9,0,0.25,,,,,,
Handanovic,Slovenia,goalkeeper,270,0,66,0,13,0.24,,,,,,
Wood,New Zealand,forward,66,1,16,0,0,0.24,,,,,,
Kapetanos,Greece,forward,29,1,7,0,0,0.24,,,,,,
Findley,USA,forward,167,1,40,0,0,0.24,,,,,,
Paston,New Zealand,goalkeeper,270,0,64,0,9,0.24,,,,,,
Mucha,Slovakia,goalkeeper,360,0,85,0,14,0.24,,,,,,
Jozy Altidore,USA,forward,356,8,84,2,0,0.24,,,,,,
Birsa,Slovenia,midfielder,261,6,61,5,0,0.23,,,,,,
Green,England,goalkeeper,90,0,21,0,3,0.23,,,,,,
Santana,Paraguay,midfielder,120,2,28,7,0,0.23,,,,,,
Klose,Germany,forward,356,11,83,4,0,0.23,,,,,,
Webo,Cameroon,forward,168,4,39,3,0,0.23,,,,,,
Scotti,Uruguay,defender,95,0,22,5,0,0.23,,,,,,
Salpingidis,Greece,forward,121,3,28,4,0,0.23,,,,,,
Yobo,Nigeria,defender,225,0,52,2,0,0.23,,,,,,
Chavez,Honduras,defender,270,0,62,3,0,0.23,,,,,,
Tagoe,Ghana,forward,210,3,48,1,0,0.23,,,,,,
Kjaer,Denmark,defender,180,1,41,3,0,0.23,,,,,,
Nomvete,South Africa,forward,22,0,5,1,0,0.23,,,,,,
Fernandez,Uruguay,midfielder,75,1,17,3,0,0.23,,,,,,
Jerry Palacios,Honduras,forward,84,0,19,0,0,0.23,,,,,,
Shittu,Nigeria,defender,270,0,61,5,0,0.23,,,,,,
van Persie,Netherlands,forward,479,14,108,1,0,0.23,,,,,,
Martins,Nigeria,forward,71,2,16,0,0,0.23,,,,,,
Liedson,Portugal,forward,121,4,27,2,0,0.22,,,,,,
Kyrgiakos,Greece,defender,180,4,40,1,0,0.22,,,,,,
Mphela,South Africa,forward,270,10,60,2,0,0.22,,,,,,
Jendrisek,Slovakia,forward,250,3,55,4,0,0.22,,,,,,
Hernandez,Mexico,forward,169,6,37,1,0,0.22,,,,,,
Smeltz,New Zealand,forward,270,5,59,5,0,0.22,,,,,,
Ri Kwang-Chon,North Korea,defender,270,1,59,4,0,0.22,,,,,,
Govou,France,forward,162,1,35,4,0,0.22,,,,,,
Jong Tae-Se,North Korea,forward,270,13,58,2,0,0.21,,,,,,
Bong,Cameroon,defender,56,0,12,0,0,0.21,,,,,,
Fabiano,Brazil,forward,418,9,89,4,0,0.21,,,,,,
Samaras,Greece,forward,202,7,43,1,0,0.21,,,,,,
Pantelic,Serbia,forward,113,3,24,1,0,0.21,,,,,,
Gomez,USA,forward,85,4,18,0,0,0.21,,,,,,
Abreu,Uruguay,forward,72,0,15,0,0,0.21,,,,,,
Ljubijankic,Slovenia,forward,173,2,36,2,0,0.21,,,,,,
Howard,USA,goalkeeper,390,0,81,0,14,0.21,,,,,,
Pak Chol-Jin,North Korea,defender,270,0,56,4,0,0.21,,,,,,
Marin,Germany,midfielder,29,1,6,0,0,0.21,,,,,,
Pazzini,Italy,forward,29,0,6,0,0,0.21,,,,,,
Villar,Paraguay,goalkeeper,480,0,99,0,10,0.21,,,,,,
Kingson,Ghana,goalkeeper,510,0,105,1,20,0.21,,,,,,
Suazo,Honduras,forward,171,2,35,0,0,0.20,,,,,,
Ghezzal,Algeria,forward,40,3,8,0,0,0.20,,,,,,
Saifi,Algeria,forward,15,1,3,0,0,0.20,,,,,,
Hamidou,Cameroon,goalkeeper,270,0,54,0,9,0.20,,,,,,
Gignac,France,forward,95,3,19,1,0,0.20,,,,,,
Petrovic,Serbia,midfielder,15,1,3,1,0,0.20,,,,,,
Josephs,South Africa,goalkeeper,101,0,20,0,3,0.20,,,,,,
Charisteas,Greece,forward,61,0,12,2,0,0.20,,,,,,
Okubo,Japan,forward,351,7,68,4,0,0.19,,,,,,
Sorensen,Denmark,goalkeeper,270,0,52,0,16,0.19,,,,,,
Stojkovic,Serbia,goalkeeper,270,0,52,0,7,0.19,,,,,,
Pecnik,Slovenia,forward,21,0,4,1,0,0.19,,,,,,
Chaouchi,Algeria,goalkeeper,90,0,17,0,2,0.19,,,,,,
Schwarzer,Australia,goalkeeper,270,0,51,0,13,0.19,,,,,,
Valladares,Honduras,goalkeeper,270,0,51,0,12,0.19,,,,,,
Welcome,Honduras,forward,87,2,16,0,0,0.18,,,,,,
Neuer,Germany,goalkeeper,540,0,99,0,20,0.18,,,,,,
Gilberto,Brazil,defender,33,0,6,4,0,0.18,,,,,,
Doumbia,Ivory Coast,forward,11,0,2,0,0,0.18,,,,,,
Torres,Spain,forward,278,9,50,0,0,0.18,,,,,,
Enevoldsen,Denmark,midfielder,56,2,10,0,0,0.18,,,,,,
Iaquinta,Italy,forward,270,5,48,3,0,0.18,,,,,,
Bautista,Mexico,forward,45,0,8,3,0,0.18,,,,,,
Sestak,Slovakia,forward,152,3,27,1,0,0.18,,,,,,
Rigobert Song,Cameroon,defender,17,0,3,0,0,0.18,,,,,,
Frei,Switzerland,forward,63,2,11,0,0,0.17,,,,,,
Nagatomo,Japan,defender,390,4,68,4,0,0.17,,,,,,
Lochhead,New Zealand,defender,270,0,47,5,0,0.17,,,,,,
Yakubu,Nigeria,forward,250,6,43,2,0,0.17,,,,,,
Drogba,Ivory Coast,forward,204,8,35,2,0,0.17,,,,,,
Ri Myong-Guk,North Korea,goalkeeper,270,0,46,0,19,0.17,,,,,,
Valdez,Paraguay,forward,337,8,57,9,0,0.17,,,,,,
Lugano,Uruguay,defender,398,2,67,6,0,0.17,,,,,,
M'Bolhi,Algeria,goalkeeper,180,0,30,0,12,0.17,,,,,,
Bravo,Chile,goalkeeper,360,0,58,0,4,0.16,,,,,,
Perez,Mexico,goalkeeper,360,0,58,0,13,0.16,,,,,,
Lloris,France,goalkeeper,270,0,43,0,12,0.16,,,,,,
Paredes,Chile,forward,70,3,11,5,0,0.16,,,,,,
Djebbour,Algeria,forward,123,3,19,1,0,0.15,,,,,,
Gekas,Greece,forward,169,3,26,0,0,0.15,,,,,,
Julio Cesar,Brazil,goalkeeper,450,0,69,0,10,0.15,,,,,,
Tzorvas,Greece,goalkeeper,270,0,41,0,12,0.15,,,,,,
Pavon,Honduras,forward,60,1,9,0,0,0.15,,,,,,
Larsen,Denmark,forward,34,2,5,0,0,0.15,,,,,,
Khune,South Africa,goalkeeper,166,1,24,0,4,0.14,,,,,,
Okazaki,Japan,forward,104,4,15,2,0,0.14,,,,,,
Papastathopoulos,Greece,defender,127,0,18,10,0,0.14,,,,,,
Eduardo,Portugal,goalkeeper,360,0,51,0,17,0.14,,,,,,
Nilmar,Brazil,forward,129,5,18,3,0,0.14,,,,,,
Kawashima,Japan,goalkeeper,390,0,54,0,17,0.14,,,,,,
Jung Sung-Ryong,South Korea,goalkeeper,360,0,49,0,14,0.14,,,,,,
Spiropoulos,Greece,defender,45,1,6,2,0,0.13,,,,,,
Muslera,Uruguay,goalkeeper,570,0,75,0,16,0.13,,,,,,
Behrami,Switzerland,midfielder,31,0,4,1,0,0.13,,,,,,
Cisse,France,forward,55,3,7,1,0,0.13,,,,,,
Marchena,Spain,defender,8,0,1,0,0,0.13,,,,,,
Casillas,Spain,goalkeeper,540,0,67,0,11,0.12,,,,,,
Kleberson,Brazil,midfielder,9,0,1,0,0,0.11,,,,,,
Enyeama,Nigeria,goalkeeper,270,0,30,0,20,0.11,,,,,,
Romero,Argentina,goalkeeper,450,0,47,0,10,0.10,,,,,,
Defoe,England,forward,173,5,17,1,0,0.10,,,,,,
Marchetti,Italy,goalkeeper,225,0,21,0,1,0.09,,,,,,
Buffon,Italy,goalkeeper,45,0,4,0,0,0.09,,,,,,
Barry,Ivory Coast,goalkeeper,270,0,23,0,8,0.09,,,,,,
Moras,Greece,defender,90,0,4,2,0,0.04,,,,,,
Konno,Japan,defender,2,0,0,0,0,0.00,,,,,,
Barron,New Zealand,midfielder,1,0,0,0,0,0.00,,,,,,
Petras,Slovakia,defender,1,0,0,0,0,0.00,,,,,,
Kim Dong-Jin,South Korea,defender,1,0,0,0,0,0.00,,,,,,
Lee Seung-Yeoul,South Korea,forward,3,0,0,0,0,0.00,,,,,,
Eggimann,Switzerland,defender,1,0,0,0,0,0.00,,,,,,
