surname,team,position,minutes,shots,passes,tackles,saves,number of passes per minute played,,,,,Which team has the highest average number of passes per minute played,
Lukovic,Serbia,defender,164,1,98,6,0,0.60,,,,,,
Camoranesi,Italy,midfielder,76,2,45,2,0,0.59,,,,,,
Joe Cole,England,midfielder,44,1,26,0,0,0.59,,,,,,
Rodrueguez,Mexico,defender,360,2,212,7,0,0.59,,,,,,
Mathijsen,Netherlands,defender,450,1,265,8,0,0.59,,,,,,
Matip,Cameroon,defender,63,0,37,3,0,0.59,,,,,,
Edu,USA,midfielder,198,2,116,4,0,0.59,,,,,,
Lacen,Algeria,midfielder,270,0,158,8,0,0.59,,,,,,
Vidic,Serbia,defender,270,2,158,7,0,0.59,,,,,,
Karagounis,Greece,midfielder,180,4,105,7,0,0.58,,,,,,
Vidal,Chile,defender,306,6,178,17,0,0.58,,,,,,
Kroos,Germany,midfielder,50,2,29,4,0,0.58,,,,,,
Modise,South Africa,midfielder,192,5,111,4,0,0.58,,,,,,
Miguel,Portugal,defender,90,1,52,2,0,0.58,,,,,,
Chiellini,Italy,defender,270,2,155,7,0,0.57,,,,,,
Capdevila,Spain,defender,540,1,310,10,0,0.57,,,,,,
Kuzmanovic,Serbia,midfielder,180,4,103,1,0,0.57,,,,,,
Kroldrup,Denmark,defender,56,1,32,0,0,0.57,,,,,,
Kim Jae-Sung,South Korea,midfielder,65,0,37,0,0,0.57,,,,,,
Ninkovic,Serbia,midfielder,160,1,91,2,0,0.57,,,,,,
van Bommel,Netherlands,midfielder,540,2,307,31,0,0.57,,,,,,
Ramos,Spain,defender,527,9,299,7,0,0.57,,,,,,
Culina,Australia,midfielder,270,4,153,0,0,0.57,,,,,,
N'Guemo,Cameroon,midfielder,90,1,51,1,0,0.57,,,,,,
Tziolis,Greece,midfielder,270,2,153,8,0,0.57,,,,,,
Choe Kum-Chol,North Korea,forward,23,1,13,0,0,0.57,,,,,,
Milijas,Serbia,midfielder,62,0,35,3,0,0.56,,,,,,
Otamendi,Argentina,defender,250,0,141,6,0,0.56,,,,,,
Aguilar,Mexico,defender,55,0,31,2,0,0.56,,,,,,
Osorio,Mexico,defender,360,1,202,14,0,0.56,,,,,,
Skrtel,Slovakia,defender,360,0,202,4,0,0.56,,,,,,
de Jong,Netherlands,midfielder,448,1,250,15,0,0.56,,,,,,
Boka,Ivory Coast,defender,90,2,50,5,0,0.56,,,,,,
Ki Sung-Yong,South Korea,midfielder,292,2,162,6,0,0.55,,,,,,
Maicon,Brazil,defender,450,6,249,11,0,0.55,,,,,,
Valeri,Australia,midfielder,245,0,135,5,0,0.55,,,,,,
Trochowski,Germany,midfielder,109,1,60,5,0,0.55,,,,,,
Carragher,England,defender,135,0,74,4,0,0.55,,,,,,
Tiote,Ivory Coast,midfielder,270,3,148,8,0,0.55,,,,,,
Juarez,Mexico,defender,235,0,128,6,0,0.54,,,,,,
Toulalan,France,midfielder,180,1,98,9,0,0.54,,,,,,
Belhadj,Algeria,defender,270,1,146,8,0,0.54,,,,,,
Gonzalez,Uruguay,midfielder,63,0,34,2,0,0.54,,,,,,
Khedira,Germany,midfielder,517,6,279,16,0,0.54,,,,,,
Bradley,USA,midfielder,390,6,210,9,0,0.54,,,,,,
Aguero,Argentina,forward,106,2,57,2,0,0.54,,,,,,
Blanco,Mexico,forward,112,2,60,3,0,0.54,,,,,,
Ozil,Germany,midfielder,497,7,266,3,0,0.54,,,,,,
Michel Bastos,Brazil,defender,422,7,224,14,0,0.53,,,,,,
Van der Wiel,Netherlands,defender,360,0,189,2,0,0.53,,,,,,
